BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
NonResidential	Large Office	5	1.0	6.0	303707	Office	729584.0	Parking	185014.0	6000.0	93.0	36681188.0	634.03	47.62334946	-122.344706
NonResidential	Small- and Mid-Sized Office	45	1.0	4.0	25930	Office	48546.0	Parking	21454.0	2406.0	72.0	3303553.0	45.83	47.62038448	-122.3584269
NonResidential	Hotel	13	1.0	6.0	36934	Hotel	59976.0	Parking	36934.0	0.0	52.0	5061274.0	138.68	47.62294488	-122.3571048
NonResidential	Hotel	53	1.0	4.0	0	Hotel	50017.0	Swimming Pool	0.0	0.0	51.0	5570472.0	196.34	47.65774638	-122.3175345
SPS-District K-12	K-12 School	16	1.0	3.0	0	K-12 School	74768.0	K-12 School	0.0	0.0	85.0	1857329.0	25.2	47.56261299	-122.3579283
NonResidential	K-12 School	92	1.0	3.0	0	K-12 School	67743.0	K-12 School	0.0	0.0	43.0	2303288.0	63.95	47.6262348	-122.3081985
NonResidential	K-12 School	107	1.0	6.0	0	K-12 School	194104.0	K-12 School	0.0	0.0	100.0	5889882.0	229.98	47.62595722	-122.304164
NonResidential	Small- and Mid-Sized Office	12	1.0	3.0	35752	Office	63681.0	Parking	35752.0	0.0	71.0	4439034.0	30.95	47.58406769	-122.3012707
SPS-District K-12	K-12 School	24	1.0	2.0	0	K-12 School	60725.0	K-12 School	0.0	0.0	71.0	2150120.0	14.99	47.57334571	-122.2906221
SPS-District K-12	K-12 School	58	1.0	1.0	0	K-12 School	132060.0	K-12 School	0.0	0.0	65.0	5851209.0	211.49	47.56301254	-122.3112112
SPS-District K-12	K-12 School	26	1.0	3.0	0	K-12 School	59955.0	K-12 School	0.0	0.0	94.0	1521329.0	15.1	47.55446464	-122.2764003
SPS-District K-12	K-12 School	51	1.0	2.0	0	K-12 School	93218.0	K-12 School	0.0	0.0	84.0	3072599.0	97.38	47.6367344	-122.3589452
NonResidential	Other	74	1.0	4.0	0	Other	49000.0	Other	0.0	0.0	55.8	6443260.0	44.92	47.6753048	-122.315342
NonResidential	Other	86	1.0	2.0	0	Other	119146.0	Parking	0.0	0.0	81.8	4461969.0	139.24	47.6756688	-122.3161909
NonResidential	Hotel	14	1.0	4.0	0	Hotel	51390.0	Parking	0.0	0.0	86.0	3864699.0	138.87	47.73127184	-122.3462382
